size	colour	x	y	clickSelects	PANEL	fill
2	#C49A00	NA	NA	Andorra	1	#C49A00
2	#00C094	0.590865666456782	0.667804024882625	United Arab Emirates	1	#00C094
3.8	#A58AFF	0.788664046724711	0.214859461865585	Afghanistan	1	#A58AFF
2	#53B400	NA	NA	Antigua and Barbuda	1	#53B400
2.80498447189992	#C49A00	0.423355841674447	0.696117287944959	Albania	1	#C49A00
2.80498447189992	#C49A00	0.240538897453156	0.726434848199191	Armenia	1	#C49A00
3.39427400463467	#FB61D7	0.733406431161387	0.240008185163617	Angola	1	#FB61D7
4.54558441227157	#53B400	0.318702911609527	0.691662914151589	Argentina	1	#53B400
2	#F8766D	NA	NA	American Samoa	1	#F8766D
3.39427400463467	#C49A00	0.1376229454806	0.742448703920119	Austria	1	#C49A00
3.8	#F8766D	0.176922074820331	0.765250719755132	Australia	1	#F8766D
2	#53B400	0.221649260698699	0.735119375963552	Aruba	1	#53B400
3.13841995766062	#C49A00	0.367338298195714	0.641653913055837	Azerbaijan	1	#C49A00
2.80498447189992	#C49A00	0.206884946913607	0.703817528692442	Bosnia and Herzegovina	1	#C49A00
2	#53B400	0.201674012636516	0.729235315777326	Barbados	1	#53B400
6.18282201390401	#A58AFF	0.688353561890701	0.351260740557029	Bangladesh	1	#A58AFF
3.60996894379985	#C49A00	0.140554096011464	0.751307287072021	Belgium	1	#C49A00
3.13841995766062	#FB61D7	0.705289098291248	0.316127394558443	Burkina Faso	1	#FB61D7
3.39427400463467	#C49A00	0.196463078359424	0.740012688561745	Bulgaria	1	#C49A00
2	#00C094	0.541036107432095	0.686814445517871	Bahrain	1	#00C094
2.80498447189992	#FB61D7	0.692913129383156	0.332020779629043	Burundi	1	#FB61D7
2.80498447189992	#FB61D7	0.708763054475975	0.306048523525772	Benin	1	#FB61D7
2	#00B6EB	NA	NA	Bermuda	1	#00B6EB
2	#F8766D	0.510421868554183	0.708557307717346	Brunei Darussalam	1	#F8766D
3.13841995766062	#53B400	0.609321058688147	0.389742942614585	Bolivia	1	#53B400
7.15441558277949	#53B400	0.432909221182448	0.576280153623262	Brazil	1	#53B400
2	#53B400	0.294059534924116	0.669806041872938	Bahamas, The	1	#53B400
2	#A58AFF	0.679017304644245	0.310709255562448	Bhutan	1	#A58AFF
2	#FB61D7	0.652419827604924	0.534211954542054	Botswana	1	#FB61D7
3.39427400463467	#C49A00	0.183435742666696	0.729786744526937	Belarus	1	#C49A00
2	#53B400	0.631793212758104	0.69762336109086	Belize	1	#53B400
4.41495341569977	#00B6EB	0.148261936296328	0.778361878860263	Canada	1	#00B6EB
4.41495341569977	#FB61D7	0.648403065766333	0.333177221865475	Congo, Dem. Rep.	1	#FB61D7
2.80498447189992	#FB61D7	0.599333434657055	0.35283749995202	Central African Republic	1	#FB61D7
2.80498447189992	#FB61D7	0.63917536965065	0.488440708089239	Congo, Rep.	1	#FB61D7
3.13841995766062	#C49A00	0.119493236641553	0.792841158915495	Switzerland	1	#C49A00
3.39427400463467	#FB61D7	0.809399222702304	0.386718635247668	Cote d'Ivoire	1	#FB61D7
3.60996894379985	#53B400	0.280380832446751	0.659174221956267	Chile	1	#53B400
