size	colour	x	y	clickSelects	PANEL	fill
2	#C49A00	NA	NA	Andorra	1	#C49A00
2	#00C094	0.660236229020561	0.615020778526947	United Arab Emirates	1	#00C094
3.60996894379985	#A58AFF	0.789098291247802	0.180431458223495	Afghanistan	1	#A58AFF
2	#53B400	NA	NA	Antigua and Barbuda	1	#53B400
2.80498447189992	#C49A00	0.471991228260633	0.675671480412898	Albania	1	#C49A00
2.80498447189992	#C49A00	0.291779751177888	0.721130719282369	Armenia	1	#C49A00
3.13841995766062	#FB61D7	0.741874199361661	0.210626267625815	Angola	1	#FB61D7
4.41495341569977	#53B400	0.29025989534707	0.668890160903565	Argentina	1	#53B400
2	#F8766D	NA	NA	American Samoa	1	#F8766D
3.39427400463467	#C49A00	0.19233775539006	0.719357862551197	Austria	1	#C49A00
3.8	#F8766D	0.274735653646568	0.734924038694565	Australia	1	#F8766D
2	#53B400	0.255954578022885	0.709648004141454	Aruba	1	#53B400
3.13841995766062	#C49A00	0.439531450159585	0.640082474131209	Azerbaijan	1	#C49A00
2.80498447189992	#C49A00	0.254543283322839	0.664244250177181	Bosnia and Herzegovina	1	#C49A00
2	#53B400	0.273432920077295	0.700336800975228	Barbados	1	#53B400
6.02492235949962	#A58AFF	0.706917515252839	0.249791390057629	Bangladesh	1	#A58AFF
3.60996894379985	#C49A00	0.192989122174697	0.734802427943446	Belgium	1	#C49A00
3.13841995766062	#FB61D7	0.676086154113381	0.273252004116676	Burkina Faso	1	#FB61D7
3.39427400463467	#C49A00	0.181264520051241	0.731891370588509	Bulgaria	1	#C49A00
2	#00C094	0.636461341381332	0.635529291602553	Bahrain	1	#00C094
2.80498447189992	#FB61D7	0.692044640336974	0.310583084408161	Burundi	1	#FB61D7
2.80498447189992	#FB61D7	0.689981978852292	0.258325044483883	Benin	1	#FB61D7
2	#00B6EB	NA	NA	Bermuda	1	#00B6EB
2	#F8766D	0.579792431117962	0.679474856654178	Brunei Darussalam	1	#F8766D
3.13841995766062	#53B400	0.664252990859153	0.34622453532627	Bolivia	1	#53B400
6.82990683139955	#53B400	0.484801441691817	0.545929910479666	Brazil	1	#53B400
2	#53B400	0.333684347656165	0.660981281711192	Bahamas, The	1	#53B400
2	#A58AFF	0.677823132205745	0.267540479183603	Bhutan	1	#A58AFF
2	#FB61D7	0.670983780967062	0.484704597794672	Botswana	1	#FB61D7
3.39427400463467	#C49A00	0.204062357513516	0.72912016559736	Belarus	1	#C49A00
2	#53B400	0.635918535727468	0.663942503500965	Belize	1	#53B400
4.27683991532123	#00B6EB	0.185715526412923	0.765478739913481	Canada	1	#00B6EB
4.27683991532123	#FB61D7	0.630924723711922	0.316176038858891	Congo, Dem. Rep.	1	#FB61D7
2.80498447189992	#FB61D7	0.599659118049374	0.293085577523567	Central African Republic	1	#FB61D7
2.80498447189992	#FB61D7	0.635050046681286	0.465528102477428	Congo, Rep.	1	#FB61D7
3.13841995766062	#C49A00	0.173990924289467	0.767059679678042	Switzerland	1	#C49A00
3.13841995766062	#FB61D7	0.813850229063986	0.323954566527409	Cote d'Ivoire	1	#FB61D7
3.60996894379985	#53B400	0.371355060034305	0.605260755682368	Chile	1	#53B400
3.39427400463467	#FB61D7	0.631467529365786	0.353658752555678	Cameroon	1	#FB61D7
16.1960557902539	#F8766D	0.522146470677639	0.622713798636083	China	1	#F8766D
4.27683991532123	#53B400	0.536259417678094	0.580605315993565	Colombia	1	#53B400
2.80498447189992	#53B400	0.46710597737586	0.677003878204857	Costa Rica	1	#53B400
3.39427400463467	#53B400	0.372006426818942	0.720859375293933	Cuba	1	#53B400
2	#FB61D7	0.703769242460429	0.459707127868346	Cape Verde	1	#FB61D7
NA	#53B400	NA	NA	Curacao	1	#53B400
2	#C49A00	0.229791345506655	0.761557933290651	Cyprus	1	#C49A00
3.60996894379985	#C49A00	0.16932279566624	0.713246922307414	Czech Republic	1	#C49A00
6.33497404836523	#C49A00	0.161723516512148	0.729130426504487	Germany	1	#C49A00
2	#00C094	0.749256356254207	0.308552944931649	Djibouti	1	#00C094
3.13841995766062	#C49A00	0.175076535597195	0.771483270750035	Denmark	1	#C49A00
2	#53B400	NA	NA	Dominica	1	#53B400
3.13841995766062	#53B400	0.602807390841783	0.546982983577646	Dominican Republic	1	#53B400
3.9718012070186	#00C094	0.756421390885207	0.461829235475391	Algeria	1	#00C094
3.13841995766062	#53B400	0.62408537247324	0.534414892482985	Ecuador	1	#53B400
2.80498447189992	#C49A00	0.18994941051306	0.719955655399672	Estonia	1	#C49A00
5.01197609552267	#00C094	0.587934515925918	0.421523632218231	Egypt, Arab Rep.	1	#00C094
2.80498447189992	#FB61D7	0.666424213474607	0.308088923909406	Eritrea	1	#FB61D7
4.90241278938748	#C49A00	0.263662418307749	0.743680012775209	Spain	1	#C49A00
4.66983145535444	#FB61D7	0.694215862952428	0.300927190769227	Ethiopia	1	#FB61D7
3.13841995766062	#C49A00	0.138165751134464	0.718552191325027	Finland	1	#C49A00
2	#F8766D	0.43062943743622	0.566311112300194	Fiji	1	#F8766D
2	#F8766D	0.705071976029702	0.594727364467384	Micronesia, Fed. Sts.	1	#F8766D
2	#C49A00	NA	NA	Faeroe Islands	1	#C49A00
5.50884596413123	#C49A00	0.221432138437154	0.747997194439971	France	1	#C49A00
2	#FB61D7	0.472316911652952	0.367080019076166	Gabon	1	#FB61D7
5.68890227574546	#C49A00	0.214701348329244	0.753697698398725	United Kingdom	1	#C49A00
2	#53B400	0.448433462882949	0.62818704250368	Grenada	1	#53B400
2.80498447189992	#C49A00	0.234242351868337	0.678650183748145	Georgia	1	#C49A00
3.39427400463467	#FB61D7	0.706266148468202	0.39644103476612	Ghana	1	#FB61D7
2	#C49A00	NA	NA	Greenland	1	#C49A00
2	#FB61D7	0.619960049503876	0.238553036519747	Gambia, The	1	#FB61D7
3.13841995766062	#FB61D7	0.697147013483292	0.162935091439694	Guinea	1	#FB61D7
2	#FB61D7	0.570021929348416	0.25156728705758	Equatorial Guinea	1	#FB61D7
3.39427400463467	#C49A00	0.202433940551925	0.748835928589103	Greece	1	#C49A00
3.13841995766062	#53B400	0.628427817704149	0.449861597464385	Guatemala	1	#53B400
2	#F8766D	0.414453828951082	0.660245536666916	Guam	1	#F8766D
2	#FB61D7	0.657739323012788	0.211296646891364	Guinea-Bissau	1	#FB61D7
2	#53B400	0.531916972447185	0.508732982048012	Guyana	1	#53B400
2.80498447189992	#F8766D	0.328799096771392	0.741004576250569	Hong Kong SAR, China	1	#F8766D
2.80498447189992	#53B400	0.734383481338342	0.454045387336513	Honduras	1	#53B400
3.13841995766062	#C49A00	0.168997112273921	0.704903284679786	Croatia	1	#C49A00
3.13841995766062	#53B400	0.571324662917689	0.366826156633203	Haiti	1	#53B400
3.60996894379985	#C49A00	0.161180710858284	0.703514261881837	Hungary	1	#C49A00
7.27863618750147	#F8766D	0.540927546301322	0.445092555852492	Indonesia	1	#F8766D
2.80498447189992	#C49A00	0.384816640250125	0.735127736702691	Ireland	1	#C49A00
2.80498447189992	#00C094	0.362995852964804	0.7450633350692	Israel	1	#00C094
2	#C49A00	NA	NA	Isle of Man	1	#C49A00
13.6653332571341	#A58AFF	0.540601862909004	0.403847889576526	India	1	#A58AFF
3.60996894379985	#00C094	0.746650889115661	0.537101349981946	Iraq	1	#00C094
4.66983145535444	#00C094	0.644277742796969	0.436951476132199	Iran, Islamic Rep.	1	#00C094
2	#C49A00	0.265399396400113	0.773911685436464	Iceland	1	#C49A00
5.6	#C49A00	0.215027031721562	0.746431456019301	Italy	1	#C49A00
2	#C49A00	0.172471068458649	0.746885976201612	Channel Islands	1	#C49A00
