colour	x	y	group	clickSelects	PANEL
#C49A00	0.0540308747855932	NA	5	Andorra	1
#C49A00	0.0711835334476857	NA	5	Andorra	1
#C49A00	0.0883361921097783	NA	5	Andorra	1
#C49A00	0.105488850771871	NA	5	Andorra	1
#C49A00	0.122641509433963	NA	5	Andorra	1
#C49A00	0.139794168096056	NA	5	Andorra	1
#C49A00	0.156946826758149	NA	5	Andorra	1
#C49A00	0.174099485420241	NA	5	Andorra	1
#C49A00	0.191252144082334	NA	5	Andorra	1
#C49A00	0.208404802744426	NA	5	Andorra	1
#C49A00	0.225557461406519	NA	5	Andorra	1
#C49A00	0.242710120068611	NA	5	Andorra	1
#C49A00	0.259862778730704	NA	5	Andorra	1
#C49A00	0.277015437392797	NA	5	Andorra	1
#C49A00	0.294168096054889	NA	5	Andorra	1
#C49A00	0.311320754716982	NA	5	Andorra	1
#C49A00	0.328473413379074	NA	5	Andorra	1
#C49A00	0.345626072041167	NA	5	Andorra	1
#C49A00	0.362778730703259	NA	5	Andorra	1
#C49A00	0.379931389365352	NA	5	Andorra	1
#C49A00	0.397084048027445	NA	5	Andorra	1
#C49A00	0.414236706689537	NA	5	Andorra	1
#C49A00	0.43138936535163	NA	5	Andorra	1
#C49A00	0.448542024013722	NA	5	Andorra	1
#C49A00	0.465694682675815	NA	5	Andorra	1
#C49A00	0.482847341337907	NA	5	Andorra	1
#C49A00	0.5	NA	5	Andorra	1
#C49A00	0.517152658662093	NA	5	Andorra	1
#C49A00	0.534305317324185	NA	5	Andorra	1
#C49A00	0.551457975986278	NA	5	Andorra	1
#C49A00	0.56861063464837	NA	5	Andorra	1
#C49A00	0.585763293310463	NA	5	Andorra	1
#C49A00	0.602915951972555	NA	5	Andorra	1
#C49A00	0.620068610634648	NA	5	Andorra	1
#C49A00	0.637221269296741	NA	5	Andorra	1
#C49A00	0.654373927958833	NA	5	Andorra	1
#C49A00	0.671526586620926	NA	5	Andorra	1
#C49A00	0.688679245283018	NA	5	Andorra	1
#C49A00	0.705831903945111	NA	5	Andorra	1
#C49A00	0.722984562607203	NA	5	Andorra	1
#C49A00	0.740137221269296	NA	5	Andorra	1
#C49A00	0.757289879931389	NA	5	Andorra	1
#C49A00	0.774442538593481	NA	5	Andorra	1
#C49A00	0.791595197255574	NA	5	Andorra	1
#C49A00	0.808747855917666	NA	5	Andorra	1
#C49A00	0.825900514579759	NA	5	Andorra	1
#C49A00	0.843053173241851	NA	5	Andorra	1
#C49A00	0.860205831903944	NA	5	Andorra	1
#C49A00	0.877358490566037	NA	5	Andorra	1
#C49A00	0.894511149228129	NA	5	Andorra	1
#C49A00	0.911663807890222	NA	5	Andorra	1
#C49A00	0.928816466552314	NA	5	Andorra	1
#C49A00	0.945969125214407	NA	5	Andorra	1
#00C094	0.0540308747855932	0.431716513330078	202	United Arab Emirates	1
#00C094	0.0711835334476857	0.448099761707533	202	United Arab Emirates	1
#00C094	0.0883361921097783	0.465249917884241	202	United Arab Emirates	1
#00C094	0.105488850771871	0.483018388723673	202	United Arab Emirates	1
#00C094	0.122641509433963	0.501171453563523	202	United Arab Emirates	1
#00C094	0.139794168096056	0.519404325458796	202	United Arab Emirates	1
#00C094	0.156946826758149	0.537404616792553	202	United Arab Emirates	1
#00C094	0.174099485420241	0.554875521325339	202	United Arab Emirates	1
#00C094	0.191252144082334	0.571543794900733	202	United Arab Emirates	1
#00C094	0.208404802744426	0.587206119544205	202	United Arab Emirates	1
#00C094	0.225557461406519	0.601721882824774	202	United Arab Emirates	1
#00C094	0.242710120068611	0.615020778526947	202	United Arab Emirates	1
#00C094	0.259862778730704	0.627282562542224	202	United Arab Emirates	1
#00C094	0.277015437392797	0.638631505856906	202	United Arab Emirates	1
#00C094	0.294168096054889	0.649138294720084	202	United Arab Emirates	1
#00C094	0.311320754716982	0.658841692558672	202	United Arab Emirates	1
#00C094	0.328473413379074	0.667804024882625	202	United Arab Emirates	1
#00C094	0.345626072041167	0.676072415857996	202	United Arab Emirates	1
#00C094	0.362778730703259	0.683771516504688	202	United Arab Emirates	1
#00C094	0.379931389365352	0.690971633038191	202	United Arab Emirates	1
#00C094	0.397084048027445	0.697774234428969	202	United Arab Emirates	1
#00C094	0.414236706689537	0.704249246858919	202	United Arab Emirates	1
#00C094	0.43138936535163	0.710427833083012	202	United Arab Emirates	1
#00C094	0.448542024013722	0.716341535889823	202	United Arab Emirates	1
