size	colour	x	y	clickSelects	PANEL	fill
2	#C49A00	NA	NA	Andorra	1	#C49A00
2.80498447189992	#00C094	0.215244153983108	0.796999106503009	United Arab Emirates	1	#00C094
4.27683991532123	#A58AFF	0.761740886293072	0.341725697602022	Afghanistan	1	#A58AFF
2	#53B400	0.137840067742146	0.800555840939674	Antigua and Barbuda	1	#53B400
2.80498447189992	#C49A00	0.174750852204877	0.798697476649121	Albania	1	#C49A00
2.80498447189992	#C49A00	0.136971578695964	0.747721290048369	Armenia	1	#C49A00
3.9718012070186	#FB61D7	0.67565190959029	0.355418308110947	Angola	1	#FB61D7
5.01197609552267	#53B400	0.211553075536835	0.782763808017212	Argentina	1	#53B400
2	#F8766D	NA	NA	American Samoa	1	#F8766D
3.39427400463467	#C49A00	0.104186117202597	0.853494521036627	Austria	1	#C49A00
4.12978872191586	#F8766D	0.143919491065419	0.873104254654738	Australia	1	#F8766D
2	#53B400	0.151410209088738	0.77848805001455	Aruba	1	#53B400
3.39427400463467	#C49A00	0.148696180819419	0.680179818977077	Azerbaijan	1	#C49A00
2.80498447189992	#C49A00	0.0960440323946414	0.790192324742661	Bosnia and Herzegovina	1	#C49A00
2	#53B400	0.117864819679962	0.805661972352328	Barbados	1	#53B400
7.74873899216167	#A58AFF	0.268873352584841	0.650784980296968	Bangladesh	1	#A58AFF
3.60996894379985	#C49A00	0.133486766398159	0.844107691184548	Belgium	1	#C49A00
3.8	#FB61D7	0.62213127211933	0.421883904068424	Burkina Faso	1	#FB61D7
3.39427400463467	#C49A00	0.0846451136635039	0.747351137324647	Bulgaria	1	#C49A00
2	#00C094	0.240647458583929	0.781188948790208	Bahrain	1	#00C094
3.39427400463467	#FB61D7	0.548635386586187	0.354812914590527	Burundi	1	#FB61D7
3.39427400463467	#FB61D7	0.585980415572009	0.454353594583884	Benin	1	#FB61D7
2	#00B6EB	NA	NA	Bermuda	1	#00B6EB
2	#F8766D	0.202108257159607	0.822378510194573	Brunei Darussalam	1	#F8766D
3.39427400463467	#53B400	0.385685129296307	0.61978563976927	Bolivia	1	#53B400
8.53972476485058	#53B400	0.19906854549797	0.72956100457017	Brazil	1	#53B400
2	#53B400	0.162266322166012	0.754715428372162	Bahamas, The	1	#53B400
2	#A58AFF	0.317183055778709	0.609626581647578	Bhutan	1	#A58AFF
2.80498447189992	#FB61D7	0.303721475562889	0.396328924854931	Botswana	1	#FB61D7
3.60996894379985	#C49A00	0.0857307249712313	0.687989889434165	Belarus	1	#C49A00
2	#53B400	0.321959745532709	0.777622333480015	Belize	1	#53B400
4.78854800926934	#00B6EB	0.118299064203053	0.867707777573784	Canada	1	#00B6EB
5.41525987298185	#FB61D7	0.685639533621382	0.348280137053797	Congo, Dem. Rep.	1	#FB61D7
2.80498447189992	#FB61D7	0.531808411316412	0.305821263434615	Central African Republic	1	#FB61D7
2.80498447189992	#FB61D7	0.481327485507089	0.474297377733977	Congo, Rep.	1	#FB61D7
3.39427400463467	#C49A00	0.104186117202597	0.880096872844141	Switzerland	1	#C49A00
3.9718012070186	#FB61D7	0.502062661484682	0.4135672488262	Cote d'Ivoire	1	#FB61D7
3.9718012070186	#53B400	0.171928262804785	0.835999294353617	Chile	1	#53B400
3.9718012070186	#FB61D7	0.487081225438044	0.400077196224609	Cameroon	1	#FB61D7
19.5257524802788	#F8766D	0.138382873396009	0.742888402792137	China	1	#F8766D
5.11769145362398	#53B400	0.232288251514428	0.742180780234058	Colombia	1	#53B400
3.13841995766062	#53B400	0.20026271793647	0.845029272657879	Costa Rica	1	#53B400
3.60996894379985	#53B400	0.129263738411099	0.824470975181032	Cuba	1	#53B400
2	#FB61D7	0.317834422563345	0.726282074693096	Cape Verde	1	#FB61D7
2	#53B400	NA	NA	Curacao	1	#53B400
2	#C49A00	0.128395249364917	0.846190275297478	Cyprus	1	#C49A00
3.60996894379985	#C49A00	0.0803026684325944	0.799643760306274	Czech Republic	1	#C49A00
6.48196385527594	#C49A00	0.0987580606639599	0.846501902847223	Germany	1	#C49A00
2	#00C094	0.448542024013722	0.475943303243666	Djibouti	1	#00C094
3.13841995766062	#C49A00	0.1400112903576	0.825714065077637	Denmark	1	#C49A00
2	#53B400	0.159552293896693	0.821077655191186	Dominica	1	#53B400
3.39427400463467	#53B400	0.261165512299976	0.740175342941368	Dominican Republic	1	#53B400
4.78854800926934	#00C094	0.226751633845018	0.729651452566316	Algeria	1	#00C094
3.8	#53B400	0.262034001346158	0.781239873292239	Ecuador	1	#53B400
2.80498447189992	#C49A00	0.102014894587142	0.732377813592989	Estonia	1	#C49A00
6.02492235949962	#00C094	0.298510541285798	0.721445387100892	Egypt, Arab Rep.	1	#00C094
3.13841995766062	#FB61D7	0.521603665023775	0.517784622267317	Eritrea	1	#FB61D7
5.11769145362398	#C49A00	0.0900731702021408	0.867365747336259	Spain	1	#C49A00
6.1046315303569	#FB61D7	0.571976029702325	0.452128117838386	Ethiopia	1	#FB61D7
3.13841995766062	#C49A00	0.1400112903576	0.844791751659598	Finland	1	#C49A00
2	#F8766D	0.279078098877478	0.686763140982243	Fiji	1	#F8766D
2	#F8766D	0.399038148381353	0.679227454782368	Micronesia, Fed. Sts.	1	#F8766D
2	#C49A00	NA	0.860715159384382	Faeroe Islands	1	#C49A00
5.8605699061149	#C49A00	0.157381071281238	0.862577324010907	France	1	#C49A00
2	#FB61D7	0.368315348372669	0.553488398695375	Gabon	1	#FB61D7
5.77571185341255	#C49A00	0.131326399895781	0.845171785256848	United Kingdom	1	#C49A00
2	#53B400	0.219803721475563	0.781017173604251	Grenada	1	#53B400
3.13841995766062	#C49A00	0.125464098834053	0.750510736652185	Georgia	1	#C49A00
4.12978872191586	#FB61D7	0.448759146275268	0.550501334620988	Ghana	1	#FB61D7
2	#C49A00	0.223494799921836	0.700569001503148	Greenland	1	#C49A00
2	#FB61D7	0.550155242417005	0.496536183777864	Gambia, The	1	#FB61D7
3.39427400463467	#FB61D7	0.587391710272054	0.396632571699134	Guinea	1	#FB61D7
2	#FB61D7	0.56937056256378	0.388760175732096	Equatorial Guinea	1	#FB61D7
3.60996894379985	#C49A00	0.0911587815098682	0.852924470640751	Greece	1	#C49A00
3.60996894379985	#53B400	0.456249864298586	0.697435624493819	Guatemala	1	#53B400
2	#F8766D	0.254217599930521	0.789223999136868	Guam	1	#F8766D
2	#FB61D7	0.571216101786916	0.334958059302191	Guinea-Bissau	1	#FB61D7
2	#53B400	0.217632498860108	0.64896879973571	Guyana	1	#53B400
3.13841995766062	#F8766D	0.0552250472240919	0.89712237800095	Hong Kong SAR, China	1	#F8766D
3.13841995766062	#53B400	0.36321297522635	0.730784332719719	Honduras	1	#53B400
3.13841995766062	#C49A00	0.0987580606639599	0.791780865179167	Croatia	1	#C49A00
3.39427400463467	#53B400	0.394587142019671	0.544441698912834	Haiti	1	#53B400
3.60996894379985	#C49A00	0.0944156154330504	0.754875802550201	Hungary	1	#C49A00
9.2	#F8766D	0.212313003452244	0.659658384759164	Indonesia	1	#F8766D
2.80498447189992	#C49A00	0.167151573050785	0.837267086434044	Ireland	1	#C49A00
3.13841995766062	#00C094	0.267027813361704	0.865541586069458	Israel	1	#00C094
2	#C49A00	0.132412011203509	0.842397539996922	Isle of Man	1	#C49A00
18.0795522325717	#A58AFF	0.277992487569751	0.598631069578337	India	1	#A58AFF
4.41495341569977	#00C094	0.512050285515774	0.718681782781689	Iraq	1	#00C094
6.02492235949962	#00C094	0.169974162450876	0.7243051399202	Iran, Islamic Rep.	1	#00C094
2	#C49A00	0.162809127819875	0.881921034110943	Iceland	1	#C49A00
5.68890227574546	#C49A00	0.0911587815098682	0.873750311770063	Italy	1	#C49A00
2	#C49A00	0.105923095294961	0.8437687012158	Channel Islands	1	#C49A00
2.80498447189992	#53B400	0.230334151160518	0.730373516401091	Jamaica	1	#53B400
3.13841995766062	#00C094	0.352356862149076	0.754236966073223	Jordan	1	#00C094
7.51869549803212	#F8766D	0.0965868380485051	0.898452495591325	Japan	1	#F8766D
4.78854800926934	#FB61D7	0.494246260069045	0.437283245462598	Kenya	1	#FB61D7
3.13841995766062	#C49A00	0.224688972360336	0.688787959988391	Kyrgyz Republic	1	#C49A00
3.8	#F8766D	0.330970319386847	0.537148474148005	Cambodia	1	#F8766D
2	#F8766D	0.344106216210348	0.606472682823997	Kiribati	1	#F8766D
2	#FB61D7	0.528985821916321	0.536244754253744	Comoros	1	#FB61D7
2	#53B400	0.18202444796665	0.739104408264318	St. Kitts and Nevis	1	#53B400
4.41495341569977	#F8766D	0.177464880474195	0.667094882190155	Korea, Dem. Rep.	1	#F8766D
5.41525987298185	#F8766D	0.0803026684325944	0.824604366973667	Korea, Rep.	1	#F8766D
2.80498447189992	#C49A00	0.242547278372451	0.686161927831393	Kosovo	1	#C49A00
2.80498447189992	#00C094	0.21296437023688	0.779101424240513	Kuwait	1	#00C094
2	#53B400	NA	NA	Cayman Islands	1	#53B400
3.8	#C49A00	0.170408406973967	0.655459013509548	Kazakhstan	1	#C49A00
3.13841995766062	#F8766D	0.367012614803396	0.602590639628087	Lao PDR	1	#F8766D
2.80498447189992	#00C094	0.188320993551469	0.733222248246079	Lebanon	1	#00C094
2	#53B400	0.181264520051241	0.776043673917036	St. Lucia	1	#53B400
2	#C49A00	0.112871007664416	NA	Liechtenstein	1	#C49A00
4.12978872191586	#A58AFF	0.197223006274833	0.757916071328202	Sri Lanka	1	#A58AFF
2.80498447189992	#FB61D7	0.575232863625508	0.381521675805271	Liberia	1	#FB61D7
2.80498447189992	#FB61D7	0.372549232472805	0.329597685412977	Lesotho	1	#FB61D7
2.80498447189992	#C49A00	0.0879019475866861	0.745716992856471	Lithuania	1	#C49A00
2	#C49A00	0.130240788588054	0.842397539996922	Luxembourg	1	#C49A00
2.80498447189992	#C49A00	0.0868163362789587	0.733251890866664	Latvia	1	#C49A00
3.13841995766062	#00C094	0.278318170962069	0.764663187813782	Libya	1	#00C094
4.66983145535444	#00C094	0.230876956814382	0.709234907621244	Morocco	1	#00C094
2	#C49A00	NA	NA	Monaco	1	#C49A00
2.80498447189992	#C49A00	0.117322014026098	0.675882779092969	Moldova	1	#C49A00
2	#C49A00	0.147610569511692	0.787920863931898	Montenegro	1	#C49A00
2	#53B400	0.148696180819419	NA	St. Martin (French part)	1	#53B400
3.9718012070186	#FB61D7	0.532676900362594	0.586637209249122	Madagascar	1	#FB61D7
2	#F8766D	NA	NA	Marshall Islands	1	#F8766D
2.80498447189992	#C49A00	0.125355537703281	0.768804033889421	Macedonia, FYR	1	#C49A00
3.60996894379985	#FB61D7	0.684445361182882	0.373510947608834	Mali	1	#FB61D7
5.41525987298185	#F8766D	0.201565451505743	0.598034416830655	Myanmar	1	#F8766D
2.80498447189992	#F8766D	0.185389843020605	0.629105203674636	Mongolia	1	#F8766D
2	#F8766D	0.0464315956315001	0.857907851201493	Macao SAR, China	1	#F8766D
2	#F8766D	NA	NA	Northern Mariana Islands	1	#F8766D
2.80498447189992	#FB61D7	0.504668128623228	0.517201650729134	Mauritania	1	#FB61D7
2	#00C094	0.110699785048961	0.844373714702623	Malta	1	#00C094
2	#FB61D7	0.163894739127603	0.748909275073373	Mauritius	1	#FB61D7
2	#A58AFF	0.2300084677682	0.752839202502537	Maldives	1	#A58AFF
3.60996894379985	#FB61D7	0.609212497557374	0.355346481761066	Malawi	1	#FB61D7
7.09116882454314	#53B400	0.229248539852791	0.792478226830121	Mexico	1	#53B400
4.41495341569977	#F8766D	0.276038387215841	0.757111540202823	Malaysia	1	#F8766D
4.12978872191586	#FB61D7	0.556234665740278	0.368114850561479	Mozambique	1	#FB61D7
2.80498447189992	#FB61D7	0.371029376641987	0.518862777582715	Namibia	1	#FB61D7
2	#F8766D	0.21057602535988	0.797781595679749	New Caledonia	1	#F8766D
3.60996894379985	#FB61D7	0.75891829689298	0.401914658667314	Niger	1	#FB61D7
7.57709601853868	#FB61D7	0.583917754087326	0.365367967720555	Nigeria	1	#FB61D7
3.13841995766062	#53B400	0.283963349762251	0.727848193147363	Nicaragua	1	#53B400
3.9718012070186	#C49A00	0.141096901665328	0.847489990200075	Netherlands	1	#C49A00
3.13841995766062	#C49A00	0.143268124280783	0.858320947721705	Norway	1	#C49A00
4.41495341569977	#A58AFF	0.36560132010335	0.611603136386876	Nepal	1	#A58AFF
2.80498447189992	#F8766D	0.158466682588966	0.856116752857653	New Zealand	1	#F8766D
