size	colour	x	y	clickSelects	PANEL	fill
2	#C49A00	NA	NA	Andorra	1	#C49A00
2.80498447189992	#00C094	0.268764791454068	0.783051113416733	United Arab Emirates	1	#00C094
4.12978872191586	#A58AFF	0.815152962633259	0.324402246104969	Afghanistan	1	#A58AFF
2	#53B400	NA	NA	Antigua and Barbuda	1	#53B400
2.80498447189992	#C49A00	0.214809909460017	0.76810477207048	Albania	1	#C49A00
2.80498447189992	#C49A00	0.144570857850055	0.718053207211838	Armenia	1	#C49A00
3.8	#FB61D7	0.705071976029702	0.308711418941702	Angola	1	#FB61D7
4.90241278938748	#53B400	0.235110840914519	0.769486194196485	Argentina	1	#53B400
2	#F8766D	NA	NA	American Samoa	1	#F8766D
3.39427400463467	#C49A00	0.102014894587142	0.836278999081193	Austria	1	#C49A00
4.12978872191586	#F8766D	0.144570857850055	0.852772457201852	Australia	1	#F8766D
2	#53B400	0.163894739127603	0.775030504346767	Aruba	1	#53B400
3.39427400463467	#C49A00	0.170408406973967	0.654758991623413	Azerbaijan	1	#C49A00
2.80498447189992	#C49A00	0.114716546887552	0.760605189062345	Bosnia and Herzegovina	1	#C49A00
2	#53B400	0.12850381049569	0.799545331604587	Barbados	1	#53B400
7.51869549803212	#A58AFF	0.316314566732527	0.620458299236402	Bangladesh	1	#A58AFF
3.60996894379985	#C49A00	0.126983954664872	0.834720861332467	Belgium	1	#C49A00
3.60996894379985	#FB61D7	0.645037670712378	0.400579600640174	Burkina Faso	1	#FB61D7
3.39427400463467	#C49A00	0.0737890005862301	0.73481002861539	Bulgaria	1	#C49A00
2	#00C094	0.261599756823067	0.773486047807543	Bahrain	1	#00C094
3.13841995766062	#FB61D7	0.607475519465011	0.334017476148997	Burundi	1	#FB61D7
3.13841995766062	#FB61D7	0.617680265757648	0.43774878661923	Benin	1	#FB61D7
2	#00B6EB	NA	NA	Bermuda	1	#00B6EB
2	#F8766D	0.232179690383655	0.807659048905879	Brunei Darussalam	1	#F8766D
3.39427400463467	#53B400	0.42031613001281	0.597300951987962	Bolivia	1	#53B400
8.38936616574759	#53B400	0.216764009813926	0.710039818780219	Brazil	1	#53B400
2	#53B400	0.198959984367197	0.733592781003398	Bahamas, The	1	#53B400
2	#A58AFF	0.392741602796535	0.554830677360863	Bhutan	1	#A58AFF
2.80498447189992	#FB61D7	0.347471611264303	0.466510109292723	Botswana	1	#FB61D7
3.60996894379985	#C49A00	0.0911587815098682	0.693462373234568	Belarus	1	#C49A00
2	#53B400	0.365818442364896	0.77082885289557	Belize	1	#53B400
4.66983145535444	#00B6EB	0.11938467551078	0.853251299534386	Canada	1	#00B6EB
5.31903600462544	#FB61D7	0.716036650237749	0.334287680036642	Congo, Dem. Rep.	1	#FB61D7
2.80498447189992	#FB61D7	0.552760709555551	0.318967765664292	Central African Republic	1	#FB61D7
2.80498447189992	#FB61D7	0.495548993638318	0.471909626642453	Congo, Rep.	1	#FB61D7
3.39427400463467	#C49A00	0.112871007664416	0.863565411363758	Switzerland	1	#C49A00
3.9718012070186	#FB61D7	0.527465966085503	0.411235362673472	Cote d'Ivoire	1	#FB61D7
3.9718012070186	#53B400	0.191252144082333	0.812281397549232	Chile	1	#53B400
3.9718012070186	#FB61D7	0.506296545584819	0.418909761136343	Cameroon	1	#FB61D7
19.2649934839258	#F8766D	0.146090713680874	0.732724024200084	China	1	#F8766D
5.01197609552267	#53B400	0.249332349045748	0.724592065286124	Colombia	1	#53B400
2.80498447189992	#53B400	0.229899906637428	0.834053902369294	Costa Rica	1	#53B400
3.60996894379985	#53B400	0.128612371626463	0.810837269879682	Cuba	1	#53B400
2	#FB61D7	0.39295872505808	0.694716484105494	Cape Verde	1	#FB61D7
2	#53B400	NA	NA	Curacao	1	#53B400
2	#C49A00	0.155209848665784	0.838038554636461	Cyprus	1	#C49A00
3.60996894379985	#C49A00	0.079217057124867	0.788622785986019	Czech Republic	1	#C49A00
6.40908153700972	#C49A00	0.100929283279415	0.834758864692193	Germany	1	#C49A00
2	#00C094	0.502388344877	0.45874754303529	Djibouti	1	#00C094
3.13841995766062	#C49A00	0.1400112903576	0.813933023562881	Denmark	1	#C49A00
2	#53B400	NA	NA	Dominica	1	#53B400
3.39427400463467	#53B400	0.275278459300432	0.724067998955517	Dominican Republic	1	#53B400
4.66983145535444	#00C094	0.262142562476931	0.7079693957424	Algeria	1	#00C094
3.60996894379985	#53B400	0.285483205593069	0.758654096574062	Ecuador	1	#53B400
2.80498447189992	#C49A00	0.0922443928175956	0.708283683527327	Estonia	1	#C49A00
5.9436024140372	#00C094	0.327496363202119	0.683587960277217	Egypt, Arab Rep.	1	#00C094
2.80498447189992	#FB61D7	0.563399700371279	0.480440620833526	Eritrea	1	#FB61D7
5.11769145362398	#C49A00	0.079217057124867	0.853304504238002	Spain	1	#C49A00
5.8605699061149	#FB61D7	0.649597238204833	0.417693273591546	Ethiopia	1	#FB61D7
3.13841995766062	#C49A00	0.137840067742146	0.828761934527585	Finland	1	#C49A00
2	#F8766D	0.297533491108843	0.675131452671205	Fiji	1	#F8766D
2	#F8766D	0.438662961113403	0.672670355095413	Micronesia, Fed. Sts.	1	#F8766D
2	#C49A00	NA	0.850340242179451	Faeroe Islands	1	#C49A00
5.77571185341255	#C49A00	0.146524958203965	0.85003621530165	France	1	#C49A00
2	#FB61D7	0.422487352628265	0.567025195429428	Gabon	1	#FB61D7
5.77571185341255	#C49A00	0.138925679049873	0.830312471604365	United Kingdom	1	#C49A00
2	#53B400	0.253131988622793	0.761028926523279	Grenada	1	#53B400
3.13841995766062	#C49A00	0.138165751134464	0.734453937134766	Georgia	1	#C49A00
4.12978872191586	#FB61D7	0.472859717306815	0.531321419001368	Ghana	1	#FB61D7
2	#C49A00	0.212747247975335	0.645616143340769	Greenland	1	#C49A00
2	#FB61D7	0.579900992248735	0.477350187620688	Gambia, The	1	#FB61D7
3.39427400463467	#FB61D7	0.62093709968083	0.359578155866448	Guinea	1	#FB61D7
2	#FB61D7	0.588043077056691	0.384637571269125	Equatorial Guinea	1	#FB61D7
3.60996894379985	#C49A00	0.0900731702021408	0.84042136529122	Greece	1	#C49A00
3.60996894379985	#53B400	0.492834965368999	0.666352296541129	Guatemala	1	#53B400
2	#F8766D	0.275929826085068	0.77702036026197	Guam	1	#F8766D
2	#FB61D7	0.606824152680374	0.318776988798471	Guinea-Bissau	1	#FB61D7
2	#53B400	0.223603361052609	0.616666704036638	Guyana	1	#53B400
3.13841995766062	#F8766D	0.0636928154243654	0.876144523432739	Hong Kong SAR, China	1	#F8766D
3.13841995766062	#53B400	0.413476778774128	0.715495201068745	Honduras	1	#53B400
3.13841995766062	#C49A00	0.110699785048961	0.754381758873775	Croatia	1	#C49A00
3.39427400463467	#53B400	0.446913607052131	0.530754788907869	Haiti	1	#53B400
3.60996894379985	#C49A00	0.0965868380485051	0.726969935504119	Hungary	1	#C49A00
8.97137002317335	#F8766D	0.227945806283518	0.640427164603915	Indonesia	1	#F8766D
2.80498447189992	#C49A00	0.163894739127603	0.814810901172529	Ireland	1	#C49A00
3.13841995766062	#00C094	0.27679831513125	0.845247791976298	Israel	1	#00C094
2	#C49A00	NA	NA	Isle of Man	1	#C49A00
17.5468324748162	#A58AFF	0.308281043055344	0.576415445583882	India	1	#A58AFF
4.27683991532123	#00C094	0.536693662201185	0.736051598377607	Iraq	1	#00C094
5.9436024140372	#00C094	0.227403000629655	0.70562686864895	Iran, Islamic Rep.	1	#00C094
2	#C49A00	0.175836463512604	0.867897794372411	Iceland	1	#C49A00
5.68890227574546	#C49A00	0.0846451136635039	0.849580174984951	Italy	1	#C49A00
2	#C49A00	0.105814534164188	0.82808395459009	Channel Islands	1	#C49A00
2.80498447189992	#53B400	0.24151594763011	0.723123615466349	Jamaica	1	#53B400
3.13841995766062	#00C094	0.412065484074082	0.746777286592799	Jordan	1	#00C094
7.51869549803212	#F8766D	0.10353475041796	0.881905832767053	Japan	1	#F8766D
4.66983145535444	#FB61D7	0.502496906007773	0.461372435091497	Kenya	1	#FB61D7
3.13841995766062	#C49A00	0.240756019714701	0.672332505227457	Kyrgyz Republic	1	#C49A00
3.60996894379985	#F8766D	0.412174045204855	0.512092479047702	Cambodia	1	#F8766D
2	#F8766D	NA	NA	Kiribati	1	#F8766D
2	#FB61D7	0.527465966085503	0.52212916635108	Comoros	1	#FB61D7
2	#53B400	NA	NA	St. Kitts and Nevis	1	#53B400
4.27683991532123	#F8766D	0.190166532774605	0.630350193739228	Korea, Dem. Rep.	1	#F8766D
5.31903600462544	#F8766D	0.112871007664416	0.79323449368865	Korea, Rep.	1	#F8766D
2.80498447189992	#C49A00	0.23203856091365	0.701937122453247	Kosovo	1	#C49A00
2.80498447189992	#00C094	0.251720693922748	0.774097141831922	Kuwait	1	#00C094
2	#53B400	NA	NA	Cayman Islands	1	#53B400
3.9718012070186	#C49A00	0.148696180819419	0.633531074948212	Kazakhstan	1	#C49A00
