size	colour	x	y	clickSelects	PANEL	fill
2	#C49A00	NA	NA	Andorra	1	#C49A00
2.80498447189992	#00C094	0.480893240983998	0.73787271937563	United Arab Emirates	1	#00C094
3.60996894379985	#A58AFF	0.810159150617713	0.272635589621936	Afghanistan	1	#A58AFF
2	#53B400	0.159552293896693	0.765151911019845	Antigua and Barbuda	1	#53B400
2.80498447189992	#C49A00	0.349534272748985	0.745934372074098	Albania	1	#C49A00
2.80498447189992	#C49A00	0.2300084677682	0.696105126869846	Armenia	1	#C49A00
3.60996894379985	#FB61D7	0.735143409253751	0.266075449666203	Angola	1	#FB61D7
4.78854800926934	#53B400	0.285048961069979	0.732650677715814	Argentina	1	#53B400
2	#F8766D	NA	NA	American Samoa	1	#F8766D
3.39427400463467	#C49A00	0.107442951125779	0.791032198992584	Austria	1	#C49A00
3.9718012070186	#F8766D	0.153581431704193	0.814130641033452	Australia	1	#F8766D
2	#53B400	0.203736674121198	0.768804413923018	Aruba	1	#53B400
3.39427400463467	#C49A00	0.26839568360944	0.648566344156222	Azerbaijan	1	#C49A00
3.13841995766062	#C49A00	0.158140999196648	0.735144078147372	Bosnia and Herzegovina	1	#C49A00
2	#53B400	0.147176324988601	0.778136518937094	Barbados	1	#53B400
6.89652938314476	#A58AFF	0.509770501769546	0.530310529632682	Bangladesh	1	#A58AFF
3.60996894379985	#C49A00	0.121555898126235	0.80188595853005	Belgium	1	#C49A00
3.39427400463467	#FB61D7	0.709414421260612	0.379131644512165	Burkina Faso	1	#FB61D7
3.39427400463467	#C49A00	0.166065961743057	0.742068670322869	Bulgaria	1	#C49A00
2	#00C094	0.400992248735263	0.748686955418982	Bahrain	1	#00C094
3.13841995766062	#FB61D7	0.658282128666652	0.372841708444076	Burundi	1	#FB61D7
3.13841995766062	#FB61D7	0.702792192283475	0.366182379719462	Benin	1	#FB61D7
2	#00B6EB	NA	NA	Bermuda	1	#00B6EB
2	#F8766D	0.356590746249213	0.762272396453482	Brunei Darussalam	1	#F8766D
3.13841995766062	#53B400	0.499240072084591	0.51585899203005	Bolivia	1	#53B400
7.80482557877496	#53B400	0.297424929978071	0.643386106192105	Brazil	1	#53B400
2	#53B400	0.24944091017652	0.707794200254068	Bahamas, The	1	#53B400
2	#A58AFF	0.619960049503876	0.415004915924597	Bhutan	1	#A58AFF
2	#FB61D7	0.519323881277547	0.619987817643007	Botswana	1	#FB61D7
3.60996894379985	#C49A00	0.173665240897149	0.733707931183364	Belarus	1	#C49A00
2	#53B400	0.471231300345224	0.748912695375748	Belize	1	#53B400
4.54558441227157	#00B6EB	0.135668845126691	0.823289450727182	Canada	1	#00B6EB
4.78854800926934	#FB61D7	0.70854593221443	0.353171169450407	Congo, Dem. Rep.	1	#FB61D7
2.80498447189992	#FB61D7	0.594013939249191	0.400621784369469	Central African Republic	1	#FB61D7
2.80498447189992	#FB61D7	0.560794233232733	0.515955900597348	Congo, Rep.	1	#FB61D7
3.13841995766062	#C49A00	0.121555898126235	0.830426481683541	Switzerland	1	#C49A00
3.60996894379985	#FB61D7	0.679451549167336	0.45516800658279	Cote d'Ivoire	1	#FB61D7
3.8	#53B400	0.241298825368565	0.75915612095603	Chile	1	#53B400
3.60996894379985	#FB61D7	0.621154221942376	0.456450619973509	Cameroon	1	#FB61D7
18.1198014876114	#F8766D	0.234893718652973	0.699539110454599	China	1	#F8766D
4.78854800926934	#53B400	0.308823848709208	0.686088201313525	Colombia	1	#53B400
2.80498447189992	#53B400	0.320222767440346	0.798009235804501	Costa Rica	1	#53B400
3.60996894379985	#53B400	0.151627331350283	0.786689555076807	Cuba	1	#53B400
2	#FB61D7	0.569913368217643	0.619682650664415	Cape Verde	1	#FB61D7
NA	#53B400	NA	NA	Curacao	1	#53B400
2	#C49A00	0.219260915821699	0.81200663325842	Cyprus	1	#C49A00
3.60996894379985	#C49A00	0.160637905204421	0.740803158444026	Czech Republic	1	#C49A00
6.33497404836523	#C49A00	0.108528562433506	0.79145289618474	Germany	1	#C49A00
2	#00C094	0.650682849512561	0.415920416860373	Djibouti	1	#00C094
3.13841995766062	#C49A00	0.116127841587598	0.791374229230109	Denmark	1	#C49A00
2	#53B400	0.278969537746705	0.748871271713647	Dominica	1	#53B400
3.39427400463467	#53B400	0.354419523633758	0.658417955097738	Dominican Republic	1	#53B400
4.41495341569977	#00C094	0.543967257962959	0.646088525102151	Algeria	1	#00C094
3.39427400463467	#53B400	0.39415289749658	0.675402036592447	Ecuador	1	#53B400
2.80498447189992	#C49A00	0.198634300974879	0.728311454102412	Estonia	1	#C49A00
5.6	#00C094	0.477310723668498	0.564835441842071	Egypt, Arab Rep.	1	#00C094
2.80498447189992	#FB61D7	0.642106520181514	0.345512352365023	Eritrea	1	#FB61D7
5.01197609552267	#C49A00	0.112871007664416	0.823110834936474	Spain	1	#C49A00
5.2199378875997	#FB61D7	0.719836289814795	0.336558760813809	Ethiopia	1	#FB61D7
3.13841995766062	#C49A00	0.125898343357144	0.789827492489301	Finland	1	#C49A00
2	#F8766D	0.334552836702347	0.638397405161	Fiji	1	#F8766D
2	#F8766D	0.52855157739323	0.653749622389118	Micronesia, Fed. Sts.	1	#F8766D
2	#C49A00	NA	0.811158778302955	Faeroe Islands	1	#C49A00
5.68890227574546	#C49A00	0.151953014742602	0.808650556561104	France	1	#C49A00
2	#FB61D7	0.516175608485138	0.566481367351763	Gabon	1	#FB61D7
5.68890227574546	#C49A00	0.150867403434874	0.800555840939674	United Kingdom	1	#C49A00
2	#53B400	0.403380593612263	0.672066481709382	Grenada	1	#53B400
3.13841995766062	#C49A00	0.198634300974879	0.718507727394149	Georgia	1	#C49A00
3.8	#FB61D7	0.597596456564692	0.489946781235142	Ghana	1	#FB61D7
2	#C49A00	NA	NA	Greenland	1	#C49A00
2	#FB61D7	0.622674077773194	0.444879357004436	Gambia, The	1	#FB61D7
3.13841995766062	#FB61D7	0.700078164014156	0.285824655614505	Guinea	1	#FB61D7
2	#FB61D7	0.591734155502964	0.337015181164106	Equatorial Guinea	1	#FB61D7
3.60996894379985	#C49A00	0.116127841587598	0.815685358479803	Greece	1	#C49A00
3.39427400463467	#53B400	0.579032503202553	0.573287769078514	Guatemala	1	#53B400
2	#F8766D	0.290694139870161	0.739119229574611	Guam	1	#F8766D
2	#FB61D7	0.683685433267473	0.286599924152894	Guinea-Bissau	1	#FB61D7
2	#53B400	0.251720693922748	0.573562533369325	Guyana	1	#53B400
3.13841995766062	#F8766D	0.0956097878715505	0.825524048279013	Hong Kong SAR, China	1	#F8766D
3.13841995766062	#53B400	0.543967257962959	0.636431871396023	Honduras	1	#53B400
3.13841995766062	#C49A00	0.131326399895781	0.741186992377248	Croatia	1	#C49A00
3.13841995766062	#53B400	0.582832142779599	0.465404591558322	Haiti	1	#53B400
3.60996894379985	#C49A00	0.149781792127147	0.712844086694328	Hungary	1	#C49A00
8.38936616574759	#F8766D	0.330210391471438	0.575946104091278	Indonesia	1	#F8766D
2.80498447189992	#C49A00	0.204062357513516	0.7815906443025	Ireland	1	#C49A00
3.13841995766062	#00C094	0.280055149054433	0.80021381070215	Israel	1	#00C094
2	#C49A00	NA	NA	Isle of Man	1	#C49A00
15.9891386439623	#A58AFF	0.403054910219945	0.524889350367908	India	1	#A58AFF
3.9718012070186	#00C094	0.621697027596239	0.594022782178081	Iraq	1	#00C094
5.50884596413123	#00C094	0.578598258679462	0.491012015408234	Iran, Islamic Rep.	1	#00C094
2	#C49A00	0.175836463512604	0.832630676547591	Iceland	1	#C49A00
5.68890227574546	#C49A00	0.0922443928175956	0.815274542161175	Italy	1	#C49A00
2	#C49A00	0.11026554052587	0.792786054043894	Channel Islands	1	#C49A00
2.80498447189992	#53B400	0.294493779447207	0.733181204617575	Jamaica	1	#53B400
2.80498447189992	#00C094	0.658933495451289	0.712475834138594	Jordan	1	#00C094
7.4	#F8766D	0.136754456434418	0.850465653266544	Japan	1	#F8766D
4.27683991532123	#FB61D7	0.670006730790108	0.557458989719446	Kenya	1	#FB61D7
